,UMAP_1,UMAP_2,cluster,dbscan_cluster
1021,8.323687,-0.7672861,15,15
1022,8.572807,-3.1435752,15,15
1023,21.037937,9.98269,21,21
1024,13.034336,-12.223442,28,28
1025,13.057476,-12.200893,28,28
1026,1.5515997,18.6726,10,10
1027,1.5540184,18.675165,10,10
1028,1.5577106,18.677391,10,10
1029,1.5610445,18.677214,10,10
1030,1.5547334,18.675611,10,10
1031,-4.8456087,10.185861,19,19
1032,-10.861993,6.992846,5,5
1033,-11.566948,7.401107,5,5
1034,-11.610191,7.4397125,5,5
1035,1.3854939,22.762798,2,2
1036,1.1362667,-1.597697,14,14
1037,19.170681,0.9038499,17,17
1038,-4.469838,10.182322,19,19
1039,-4.4859548,10.187661,19,19
1040,14.221401,8.982956,6,6
1041,12.900828,3.0780997,18,18
1042,-3.3679256,10.296795,19,19
1043,14.018,-2.1885233,1,1
1044,14.011181,-2.1815805,1,1
1045,-4.4936543,15.391262,0,0
1046,-6.230624,2.3845007,13,13
1047,12.684052,20.176714,12,12
1048,16.618158,22.18655,29,29
1049,18.327494,21.094728,29,29
1050,-1.7645848,19.114992,2,2
1051,-1.7937055,19.141472,2,2
1052,7.793985,18.66965,16,16
1053,19.241776,9.650849,21,21
1054,-4.024058,5.0727296,13,13
1055,-4.0244026,5.0724964,13,13
1056,12.367819,6.2811666,6,6
1057,-0.9564239,23.3065,2,2
1058,0.3125555,6.671235,20,20
1059,15.2967,2.4621105,18,18
1060,9.672587,11.782058,23,23
1061,1.350709,7.0819054,20,20
1062,1.3293624,7.062218,20,20
1063,8.233035,10.728438,23,23
1064,2.2484941,-0.7362679,14,14
1065,-1.3535367,18.881044,2,2
1066,-1.0073708,23.304392,2,2
1067,-2.9419422,-10.051684,4,4
1068,-0.111560345,-10.377651,4,4
1069,1.1850966,-5.270548,31,31
1070,-3.2548144,22.191137,2,2
1071,14.626298,8.838972,6,6
1072,-0.0746985,-0.71228194,14,14
1073,10.38897,-0.13856569,1,1
1074,11.388599,8.528845,18,18
1075,1.3139131,0.9852515,14,14
1076,19.644579,0.5424751,17,17
1077,19.650463,0.53785115,17,17
1078,14.2027645,2.7294426,18,18
1079,19.808659,0.40760264,17,17
1080,-2.261944,-4.6672873,11,11
1081,18.591024,17.894434,29,29
1082,-5.184964,-4.7167587,11,11
1083,-6.1786356,2.4586036,13,13
1084,20.430416,-0.15643957,17,17
1085,9.645706,6.3865457,18,18
1086,9.237168,11.539145,23,23
1087,10.556859,7.96358,18,18
1088,14.1976185,-2.3308663,1,1
1089,14.2060375,-2.3411946,1,1
1090,14.187944,-2.3237474,1,1
1091,14.195184,-2.3293273,1,1
1092,-0.85549724,-10.691895,4,4
1093,0.5060139,23.12192,2,2
1094,21.304302,10.199688,21,21
1095,-0.2570009,23.29644,2,2
1096,10.985058,16.110838,12,12
1097,9.673834,6.53815,18,18
1098,9.626089,5.9739575,18,18
1099,-1.4206971,10.862525,19,19
1100,20.480974,-4.167126,25,25
1101,9.659975,5.750308,18,18
1102,1.9120504,12.104691,30,30
1103,10.113755,-9.058299,9,9
1104,7.813635,-10.392661,9,9
1105,1.0978953,18.596727,10,10
1106,21.379671,-1.6374431,17,17
1107,-6.069934,-5.570776,11,11
1108,-6.065616,-5.5663342,11,11
1109,18.963507,-8.999567,22,22
1110,11.279746,12.332931,7,7
1111,11.209691,-9.243331,9,9
1112,-3.7450795,14.547034,0,0
1113,7.5082326,19.763592,16,16
1114,0.47583336,0.34884003,14,14
1115,12.47025,-1.0586458,1,1
1116,-2.625231,14.463081,0,0
1117,6.554682,-15.068436,26,26
1118,13.669692,17.963829,12,12
1119,17.306597,21.825111,29,29
1120,-1.5307807,-10.846754,4,4
1121,18.656902,20.665705,29,29
1122,12.999782,19.7204,12,12
1123,-2.2714007,-4.664585,11,11
1124,13.819208,2.8133616,18,18
1125,11.545315,-9.330757,9,9
1126,10.440047,-4.394247,15,15
1127,-1.208858,6.3372397,20,20
1128,13.067803,-12.193007,28,28
1129,13.068592,-12.192237,28,28
1130,13.082105,-12.179002,28,28
1131,13.07197,-12.189233,28,28
1132,13.098557,-12.162571,28,28
1133,13.074786,-12.187271,28,28
1134,13.075552,-12.185665,28,28
1135,13.069823,-12.191258,28,28
1136,9.781453,6.793458,18,18
