artist,title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,tag,hdbscan_cluster,dbscan_cluster
built to spill,distopian dream girl,511VZuvJIubk8ADZrYfOyw,0.321,0.677,5,-8.851,1,0.0583,0.214,0.00154,0.0775,0.715,175.224,audio_features,spotify:track:511VZuvJIubk8ADZrYfOyw,https://api.spotify.com/v1/tracks/511VZuvJIubk8ADZrYfOyw,https://api.spotify.com/v1/audio-analysis/511VZuvJIubk8ADZrYfOyw,264200,4,not_hot,285,6
afu-ra,hip hop kid,0aXb3G2Tjedb8FyErfwNXn,0.653,0.909,7,-2.654,1,0.298,0.169,0.0,0.101,0.703,88.999,audio_features,spotify:track:0aXb3G2Tjedb8FyErfwNXn,https://api.spotify.com/v1/tracks/0aXb3G2Tjedb8FyErfwNXn,https://api.spotify.com/v1/audio-analysis/0aXb3G2Tjedb8FyErfwNXn,277320,4,not_hot,85,23
nappy roots,my ride,37RC87Ce8jeeKmnpYNExhP,0.718,0.675,7,-4.085,1,0.265,0.00566,0.0,0.177,0.702,160.026,audio_features,spotify:track:37RC87Ce8jeeKmnpYNExhP,https://api.spotify.com/v1/tracks/37RC87Ce8jeeKmnpYNExhP,https://api.spotify.com/v1/audio-analysis/37RC87Ce8jeeKmnpYNExhP,239400,4,not_hot,290,17
kapena,reggae train,17azajcP1Bp3a9YA0VZ9wC,0.949,0.472,9,-13.803,1,0.128,0.0906,1.57e-06,0.135,0.878,116.067,audio_features,spotify:track:17azajcP1Bp3a9YA0VZ9wC,https://api.spotify.com/v1/tracks/17azajcP1Bp3a9YA0VZ9wC,https://api.spotify.com/v1/audio-analysis/17azajcP1Bp3a9YA0VZ9wC,226836,4,not_hot,259,1
fleetwood mac,you make loving fun,28H3wOEKsaEa8NBEYCLl4j,0.625,0.591,7,-9.127,0,0.0265,0.0138,0.0399,0.0893,0.863,126.597,audio_features,spotify:track:28H3wOEKsaEa8NBEYCLl4j,https://api.spotify.com/v1/tracks/28H3wOEKsaEa8NBEYCLl4j,https://api.spotify.com/v1/audio-analysis/28H3wOEKsaEa8NBEYCLl4j,213693,4,not_hot,294,9
the fleetwoods,outside my window,28H3wOEKsaEa8NBEYCLl4j,0.625,0.591,7,-9.127,0,0.0265,0.0138,0.0399,0.0893,0.863,126.597,audio_features,spotify:track:28H3wOEKsaEa8NBEYCLl4j,https://api.spotify.com/v1/tracks/28H3wOEKsaEa8NBEYCLl4j,https://api.spotify.com/v1/audio-analysis/28H3wOEKsaEa8NBEYCLl4j,213693,4,not_hot,294,9
count basic,joy and pain,60rRQVYkqETHYEUtF5obDF,0.694,0.512,0,-13.667,1,0.0337,0.712,0.591,0.355,0.734,102.034,audio_features,spotify:track:60rRQVYkqETHYEUtF5obDF,https://api.spotify.com/v1/tracks/60rRQVYkqETHYEUtF5obDF,https://api.spotify.com/v1/audio-analysis/60rRQVYkqETHYEUtF5obDF,248133,4,not_hot,205,18
the cars,jacki,35jXTF1ALlzkrS2k1B5dkF,0.519,0.74,11,-7.96,0,0.0297,0.116,0.0459,0.319,0.78,122.132,audio_features,spotify:track:35jXTF1ALlzkrS2k1B5dkF,https://api.spotify.com/v1/tracks/35jXTF1ALlzkrS2k1B5dkF,https://api.spotify.com/v1/audio-analysis/35jXTF1ALlzkrS2k1B5dkF,257827,4,not_hot,137,18
roy buchanan,sweet dreams,1ZBsdS9S7ZItIj6x6a6cNG,0.235,0.343,7,-14.746,1,0.0313,0.0422,0.812,0.103,0.349,169.356,audio_features,spotify:track:1ZBsdS9S7ZItIj6x6a6cNG,https://api.spotify.com/v1/tracks/1ZBsdS9S7ZItIj6x6a6cNG,https://api.spotify.com/v1/audio-analysis/1ZBsdS9S7ZItIj6x6a6cNG,212933,3,not_hot,234,9
erroll garner,penthouse serenade,1QycDg5a78Rsny45n4Bd67,0.51,0.2,5,-17.01,0,0.0969,0.888,0.929,0.0987,0.477,68.818,audio_features,spotify:track:1QycDg5a78Rsny45n4Bd67,https://api.spotify.com/v1/tracks/1QycDg5a78Rsny45n4Bd67,https://api.spotify.com/v1/audio-analysis/1QycDg5a78Rsny45n4Bd67,180493,4,not_hot,102,8
